content,content_clean,content_preprocessing,polarity_score,polarity
aplikasi sangat bagus,aplikasi sangat bagus,"['aplikasi', 'sangat', 'bagus']",-8,negative
kak aplikasi sya di suruh diperbarui apakah aharus di perbarui kak dan nanti apakah datanya tidak hilang kak mohon penjelasannya dan apakah kita bisa masuk kelas nya lagi kak soalnya saya lihat ada yang gk bisa masuk kelas kak saoalanya sekarang saya ad tugas kak saya mau apload tugas kak,kak aplikasi sya di suruh diperbarui apakah aharus di perbarui kak dan nanti apakah datanya tidak hilang kak mohon penjelasannya dan apakah kita bisa masuk kelas nya lagi kak soalnya saya lihat ada yang gk bisa masuk kelas kak saoalanya sekarang saya ad tugas kak saya mau apload tugas kak,"['kak', 'aplikasi', 'sya', 'suruh', 'baru', 'aharus', 'baru', 'kak', 'data', 'hilang', 'kak', 'mohon', 'jelas', 'masuk', 'kelas', 'nya', 'kak', 'soal', 'lihat', 'gk', 'masuk', 'kelas', 'kak', 'saoalanya', 'sekarang', 'ad', 'tugas', 'kak', 'mau', 'apload', 'tugas', 'kak']",-20,negative
"Di update kok nggak bisa ya,padahal mau kuliah jadi terganggu.ini gimana solusi nya biar bisa di update apk nya",di update kok nggak bisa yapadahal mau kuliah jadi tergangguini gimana solusi nya biar bisa di update apk nya,"['update', 'kok', 'yapadahal', 'mau', 'kuliah', 'jadi', 'tergangguini', 'gimana', 'solusi', 'nya', 'biar', 'update', 'apk', 'nya']",3,positive
"Akan terus turun ratingmu jika begini, TIDAK BISA DIPAKAI, login keluar trs",akan terus turun ratingmu jika begini tidak bisa dipakai login keluar trs,"['terus', 'turun', 'ratingmu', 'begini', 'pakai', 'login', 'keluar', 'trs']",-6,negative
Mantap membantu perkuliahan dimasa pandemi,mantap membantu perkuliahan dimasa pandemi,"['mantap', 'bantu', 'kuliah', 'masa', 'pandemi']",-2,negative
"Kenapa apl nya minta di-update mulu, kalo sinyal kecil gbsa dibuka Apl nya, yaampun kendala banget kuliah online",kenapa apl nya minta diupdate mulu kalo sinyal kecil gbsa dibuka apl nya yaampun kendala banget kuliah online,"['apl', 'nya', 'minta', 'diupdate', 'mulu', 'kalo', 'sinyal', 'kecil', 'gbsa', 'buka', 'apl', 'nya', 'yaampun', 'kendala', 'banget', 'kuliah', 'online']",-3,negative
Semoga performanya bisa lebih ditingkatkan lagi yaa,semoga performanya bisa lebih ditingkatkan lagi yaa,"['moga', 'performa', 'lebih', 'tingkat', 'yaa']",3,positive
"Tingkatkan lagi untuk aplikasinya, menjadi yang terbaik lagi, dan kenapa kalau di update kok lama mutar nya kenapa ini, tolong diperbaiki lagi sistem nya",tingkatkan lagi untuk aplikasinya menjadi yang terbaik lagi dan kenapa kalau di update kok lama mutar nya kenapa ini tolong diperbaiki lagi sistem nya,"['tingkat', 'aplikasi', 'jadi', 'baik', 'kalau', 'update', 'kok', 'lama', 'mutar', 'nya', 'baik', 'sistem', 'nya']",-9,negative
"Aplikasinya bagus Kak❤️🙏🏻 hanya saja sedikit saran mohon pada sistem penyimpanan tugas semuanya di bersihkan dulu Kak🙏🏻karena saat ini saya terkendala mengumpulkan tugas pada kelas kuliah saya karena penyimpan nya Full,, 🙏🏻 terima kasih",aplikasinya bagus kak❤️ hanya saja sedikit saran mohon pada sistem penyimpanan tugas semuanya di bersihkan dulu kakkarena saat ini saya terkendala mengumpulkan tugas pada kelas kuliah saya karena penyimpan nya full  terima kasih,"['aplikasi', 'bagus', 'kak', 'sedikit', 'saran', 'mohon', 'sistem', 'simpan', 'tugas', 'semua', 'sih', 'dulu', 'kakkarena', 'kendala', 'kumpul', 'tugas', 'kelas', 'kuliah', 'simpan', 'nya', 'full', 'terima', 'kasih']",-27,negative
"Untuk aplikasinya dikasih bintang tiga dulu yah, yang pengen di koreksi tolong dong munculin notifikasi aplikasinya kalo tiba2 muncul ada matkul yang masuk. Sering aja gitu telat masuk karena notifikasinya lambat. Itu aja sih selainnya bagus trimakasih",untuk aplikasinya dikasih bintang tiga dulu yah yang pengen di koreksi tolong dong munculin notifikasi aplikasinya kalo tiba muncul ada matkul yang masuk sering aja gitu telat masuk karena notifikasinya lambat itu aja sih selainnya bagus trimakasih,"['aplikasi', 'kasih', 'bintang', 'tiga', 'dulu', 'yah', 'ken', 'koreksi', 'dong', 'munculin', 'notifikasi', 'aplikasi', 'kalo', 'tiba', 'muncul', 'matkul', 'masuk', 'sering', 'aja', 'gitu', 'telat', 'masuk', 'notifikasi', 'lambat', 'aja', 'sih', 'selain', 'bagus', 'trimakasih']",-11,negative
Terimakasih telah memberi apk EdLink 5 bintang,terimakasih telah memberi apk edlink  bintang,"['terimakasih', 'beri', 'apk', 'edlink', 'bintang']",5,positive
">.<:0 h HH,hawcz .v Zee z aku wzs saat",h hhhawcz v zee z aku wzs saat,"['h', 'hhhawcz', 'v', 'zee', 'z', 'aku', 'wzs']",1,positive
Urgent min...kenapa pemberitahuan/room tugas pada edlink saya tidak muncul ya???,urgent minkenapa pemberitahuanroom tugas pada edlink saya tidak muncul ya,"['urgent', 'minkenapa', 'pemberitahuanroom', 'tugas', 'edlink', 'muncul']",-3,negative
Min Kenapa jadwal dosen selalu ga muncul??,min kenapa jadwal dosen selalu ga muncul,"['min', 'jadwal', 'dosen', 'selalu', 'ga', 'muncul']",-2,negative
mantap jiwa... terima kasih sevima....(2019) Sy update review nya... Edlink masih tetap msh mangtap jiwa (2022) Msh relevan dan sangat membantu... Eror eror dikit masih wajar.,mantap jiwa terima kasih sevima sy update review nya edlink masih tetap msh mangtap jiwa  msh relevan dan sangat membantu eror eror dikit masih wajar,"['mantap', 'jiwa', 'terima', 'kasih', 'sevima', 'sy', 'update', 'review', 'nya', 'edlink', 'tetap', 'msh', 'mangtap', 'jiwa', 'msh', 'relevan', 'sangat', 'bantu', 'eror', 'eror', 'dikit', 'wajar']",-6,negative
Kenapa kak kok saya gak bisa dwonlod data,kenapa kak kok saya gak bisa dwonlod data,"['kak', 'kok', 'gak', 'dwonlod', 'data']",-3,negative
"Terima kasih karena sudah menciptakan aplikasi yang tidak berguna, karena apk ini presensi dipersulit, dan pengerjaan kuis tiba-tiba error",terima kasih karena sudah menciptakan aplikasi yang tidak berguna karena apk ini presensi dipersulit dan pengerjaan kuis tibatiba error,"['terima', 'kasih', 'cipta', 'aplikasi', 'guna', 'apk', 'presensi', 'sulit', 'kerja', 'kuis', 'tibatiba', 'error']",-3,negative
"Jelek error mulu, untung aplikasi, kalo manusia udah di smackdown.",jelek error mulu untung aplikasi kalo manusia udah di smackdown,"['jelek', 'error', 'mulu', 'untung', 'aplikasi', 'kalo', 'manusia', 'udah', 'smackdown']",-8,negative
temen-temen saya pake ini pada eror. tapi saya enggak 🙂. TAPI TEMEN TEMEN SAYA EROR 😡,tementemen saya pake ini pada eror tapi saya enggak  tapi temen temen saya eror,"['tementemen', 'pake', 'eror', 'enggak', 'temen', 'temen', 'eror']",-8,negative
Server down mulu,server down mulu,"['server', 'down', 'mulu']",-2,negative
"Sering terjadi gangguan, sehingga kurang efektif dalam kegiatan belajar mengajar. Sangat tidak ramah bintang 1",sering terjadi gangguan sehingga kurang efektif dalam kegiatan belajar mengajar sangat tidak ramah bintang,"['sering', 'jadi', 'ganggu', 'kurang', 'efektif', 'giat', 'ajar', 'ajar', 'sangat', 'ramah', 'bintang']",-4,negative
Bagaimana kalau penyimpanan tugas Full sedangkan masih banyak tugas yang ingin di kumpulkan dan saat ingin menghapus tugas semester yang lalu Mala tidak bisa di hapus. Mohon direspon ya,bagaimana kalau penyimpanan tugas full sedangkan masih banyak tugas yang ingin di kumpulkan dan saat ingin menghapus tugas semester yang lalu mala tidak bisa di hapus mohon direspon ya,"['bagaimana', 'kalau', 'simpan', 'tugas', 'full', 'banyak', 'tugas', 'kumpul', 'hapus', 'tugas', 'semester', 'lalu', 'mala', 'hapus', 'mohon', 'direspon']",-15,negative
Bagaimana mengatasi penyimpanan edlink mahasiswa yang penuh???,bagaimana mengatasi penyimpanan edlink mahasiswa yang penuh,"['bagaimana', 'atas', 'simpan', 'edlink', 'mahasiswa', 'penuh']",-7,negative
"karena tidak bisa pakai versi 4.6.5 force close terus yaudah terpaksa pakai versi sebelumnya, tolong diperbaiki diversi itu kak",karena tidak bisa pakai versi  force close terus yaudah terpaksa pakai versi sebelumnya tolong diperbaiki diversi itu kak,"['pakai', 'versi', 'force', 'close', 'terus', 'yaudah', 'paksa', 'pakai', 'versi', 'belum', 'baik', 'versi', 'kak']",-7,negative
Notif ngebug sering banget Kadang upload tugas malah ngestuck gajelas,notif ngebug sering banget kadang upload tugas malah ngestuck gajelas,"['notif', 'ngebug', 'sering', 'banget', 'kadang', 'upload', 'tugas', 'malah', 'ngestuck', 'gajelas']",6,positive
"gajelas kelas saya ga langsung muncul di beranda, kebanyakan bacaan yg ga jelas bukan mengutamakan kelas yg muncul di beranda",gajelas kelas saya ga langsung muncul di beranda kebanyakan bacaan yg ga jelas bukan mengutamakan kelas yg muncul di beranda,"['gajelas', 'kelas', 'ga', 'langsung', 'muncul', 'beranda', 'banyak', 'baca', 'yg', 'ga', 'jelas', 'bukan', 'utama', 'kelas', 'yg', 'muncul', 'beranda']",-14,negative
Update terus terusan,update terus terusan,"['update', 'terus', 'terus']",0,negative
Edlink selalu berhenti sendiri dan keluar aplikasi,edlink selalu berhenti sendiri dan keluar aplikasi,"['edlink', 'selalu', 'henti', 'sendiri', 'keluar', 'aplikasi']",-14,negative
"Kenapa ya, kalo saya buka edlink selalu ga support dan keluar dengan sendirinya.. Tolong diperbaiki kedepannya saya susah kalo mau belajar selalu keluar dari edlink terus........",kenapa ya kalo saya buka edlink selalu ga support dan keluar dengan sendirinya tolong diperbaiki kedepannya saya susah kalo mau belajar selalu keluar dari edlink terus,"['kalo', 'buka', 'edlink', 'selalu', 'ga', 'support', 'keluar', 'sendiri', 'baik', 'depan', 'susah', 'kalo', 'mau', 'ajar', 'selalu', 'keluar', 'edlink', 'terus']",-4,negative
"Kak izin mau tanya kenapa ya edlink tetep gak bisa log in padahal user id sama kata sandi nya udah bener udah dicoba berulang kali tetep gak bisa dan udah diupdate, mohon kak bantuannya terimakasih 🙏🏻",kak izin mau tanya kenapa ya edlink tetep gak bisa log in padahal user id sama kata sandi nya udah bener udah dicoba berulang kali tetep gak bisa dan udah diupdate mohon kak bantuannya terimakasih,"['kak', 'izin', 'mau', 'tanya', 'edlink', 'tetep', 'gak', 'log', 'in', 'padahal', 'user', 'id', 'sama', 'kata', 'sandi', 'nya', 'udah', 'bener', 'udah', 'coba', 'ulang', 'kali', 'tetep', 'gak', 'udah', 'diupdate', 'mohon', 'kak', 'bantu', 'terimakasih']",9,positive
Terima kasih edlink gara gara apk ini nilai saya bermasalah dan di cap pembohong edlink memang aplikasi belajar yang sangat tdk berguna terima kasih..🙏🏻,terima kasih edlink gara gara apk ini nilai saya bermasalah dan di cap pembohong edlink memang aplikasi belajar yang sangat tdk berguna terima kasih,"['terima', 'kasih', 'edlink', 'gara', 'gara', 'apk', 'nilai', 'masalah', 'cap', 'bohong', 'edlink', 'memang', 'aplikasi', 'ajar', 'sangat', 'tdk', 'guna', 'terima', 'kasih']",-11,negative
"Tolong format nya di dukung kenapa Zip rar dll gak bisa di kirim padahal dosennya nyuruh kirim itu"")",tolong format nya di dukung kenapa zip rar dll gak bisa di kirim padahal dosennya nyuruh kirim itu,"['format', 'nya', 'dukung', 'zip', 'rar', 'gak', 'kirim', 'padahal', 'dosen', 'nyuruh', 'kirim']",5,positive
"Ini kenapa edlink macet, kalo mau liat apa yang di kirim dosen yg terbaru harus melewati notif kalo lewat kelas gk muncul, pdhl biasanya muncul tpi abis di upgrad kyk nggk ad kelas yg baru cmn yg lama, kn jadi susah, ribet banget jadi nyesel upgrad nyaa",ini kenapa edlink macet kalo mau liat apa yang di kirim dosen yg terbaru harus melewati notif kalo lewat kelas gk muncul pdhl biasanya muncul tpi abis di upgrad kyk nggk ad kelas yg baru cmn yg lama kn jadi susah ribet banget jadi nyesel upgrad nyaa,"['edlink', 'macet', 'kalo', 'mau', 'liat', 'apa', 'kirim', 'dosen', 'yg', 'baru', 'lewat', 'notif', 'kalo', 'lewat', 'kelas', 'gk', 'muncul', 'pdhl', 'biasa', 'muncul', 'tpi', 'abis', 'upgrad', 'kyk', 'nggk', 'ad', 'kelas', 'yg', 'baru', 'cmn', 'yg', 'lama', 'kn', 'jadi', 'susah', 'ribet', 'banget', 'jadi', 'nyesel', 'upgrad', 'nyaa']",-32,negative
Entah kenapa selalu error,entah kenapa selalu error,"['entah', 'selalu', 'error']",-8,negative
"Tidak mudah untuk digunakan, terlalu bercampur antara kelas dengan berita atau iklan dari edlink sendiri yang tidak jelas",tidak mudah untuk digunakan terlalu bercampur antara kelas dengan berita atau iklan dari edlink sendiri yang tidak jelas,"['mudah', 'guna', 'terlalu', 'campur', 'kelas', 'berita', 'iklan', 'edlink', 'sendiri', 'jelas']",-6,negative
aneh². Males bgt,aneh² males bgt,"['aneh', 'males', 'bgt']",-4,negative
Membantu perkuliahan,membantu perkuliahan,"['bantu', 'kuliah']",-2,negative
Selamat siang min Kenapa di edlink saya tidak bisa unduh materi ya? Mohon di bantu Terimakasih 🙏,selamat siang min kenapa di edlink saya tidak bisa unduh materi ya mohon di bantu terimakasih,"['selamat', 'siang', 'min', 'edlink', 'unduh', 'materi', 'mohon', 'bantu', 'terimakasih']",9,positive
"Kak, knapa gk bisa log in.? Katanya username dan password salah, pdahal udah benar yg dimasukin.. melalui link dan buka di crhome bisa. Tetapi di aplikasi ini gak bisa",kak knapa gk bisa log in katanya username dan password salah pdahal udah benar yg dimasukin melalui link dan buka di crhome bisa tetapi di aplikasi ini gak bisa,"['kak', 'knapa', 'gk', 'log', 'in', 'kata', 'username', 'password', 'salah', 'pdahal', 'udah', 'benar', 'yg', 'dimasukin', 'lalu', 'link', 'buka', 'crhome', 'aplikasi', 'gak']",-8,negative
Bagus untuk product online,bagus untuk product online,"['bagus', 'product', 'online']",-2,negative
"Min urgent ini kenapa ya token bermasalah terus, padahal baru download dan baru login, mau ngisi KRS jd gabisa karena selalu ada tulisan ""token bermasalah"" mohon bantuannya terima kasih",min urgent ini kenapa ya token bermasalah terus padahal baru download dan baru login mau ngisi krs jd gabisa karena selalu ada tulisan token bermasalah mohon bantuannya terima kasih,"['min', 'urgent', 'token', 'masalah', 'terus', 'padahal', 'baru', 'download', 'baru', 'login', 'mau', 'ngisi', 'krs', 'jd', 'gabisa', 'selalu', 'tulis', 'token', 'masalah', 'mohon', 'bantu', 'terima', 'kasih']",-2,negative
"Susah di download masa udah berkali kali download kurang dikit lama bener aku abis itu coba buat download aplikasi yang lainnya bisa tuh, hmm ngabisin data orang lagi buru buru juga ada kuliah",susah di download masa udah berkali kali download kurang dikit lama bener aku abis itu coba buat download aplikasi yang lainnya bisa tuh hmm ngabisin data orang lagi buru buru juga ada kuliah,"['susah', 'download', 'masa', 'udah', 'kali', 'kali', 'download', 'kurang', 'dikit', 'lama', 'bener', 'aku', 'abis', 'coba', 'buat', 'download', 'aplikasi', 'lain', 'tuh', 'hmm', 'ngabisin', 'data', 'orang', 'buru', 'buru', 'kuliah']",-26,negative
mantap bagus,mantap bagus,"['mantap', 'bagus']",3,positive
"thank you lemonilo sudah jadiin nct dream BAnya, love lemonilo!! 💚💚💚",thank you lemonilo sudah jadiin nct dream banya love lemonilo,"['thank', 'you', 'lemonilo', 'jadiin', 'nct', 'dream', 'banya', 'love', 'lemonilo']",6,positive
"Kak ini urgent bnget, knapa setiap ada kuis jwabannya gk bisa dipilih trus waktunya udh habis otomatis kan gk bisa milih jwaban klo waktunya hbis pdahal blum jawab apa². Akun edlink aku yg bermasalah atau gimana kak, klo iya gmana cara mmperbaikinya. Tolong sarannya kak, cuman karena gara-gara kuis nilai eror :( Bsok aku ada uas kak trus kuis gmana klo edlink aku eror dan gak bisa ngerjain soal",kak ini urgent bnget knapa setiap ada kuis jwabannya gk bisa dipilih trus waktunya udh habis otomatis kan gk bisa milih jwaban klo waktunya hbis pdahal blum jawab apa² akun edlink aku yg bermasalah atau gimana kak klo iya gmana cara mmperbaikinya tolong sarannya kak cuman karena garagara kuis nilai eror  bsok aku ada uas kak trus kuis gmana klo edlink aku eror dan gak bisa ngerjain soal,"['kak', 'urgent', 'bnget', 'knapa', 'kuis', 'jwabannya', 'gk', 'pilih', 'trus', 'waktu', 'udh', 'habis', 'otomatis', 'kan', 'gk', 'milih', 'jwaban', 'klo', 'waktu', 'hbis', 'pdahal', 'blum', 'jawab', 'apa', 'akun', 'edlink', 'aku', 'yg', 'masalah', 'gimana', 'kak', 'klo', 'iya', 'gmana', 'cara', 'mmperbaikinya', 'saran', 'kak', 'cuman', 'garagara', 'kuis', 'nilai', 'eror', 'bsok', 'aku', 'uas', 'kak', 'trus', 'kuis', 'gmana', 'klo', 'edlink', 'aku', 'eror', 'gak', 'ngerjain', 'soal']",-14,negative
"tolong perbaiki aplikasi ini,jaringan udah stabil tapi kenapa selalu eror saya jadi telat mengisi kuis ujian dikarenakan pilihan tidak bisa dijawab karena loading padahl jaringan saya sudah stabil",tolong perbaiki aplikasi inijaringan udah stabil tapi kenapa selalu eror saya jadi telat mengisi kuis ujian dikarenakan pilihan tidak bisa dijawab karena loading padahl jaringan saya sudah stabil,"['baik', 'aplikasi', 'inijaringan', 'udah', 'stabil', 'selalu', 'eror', 'jadi', 'telat', 'isi', 'kuis', 'uji', 'karena', 'pilih', 'jawab', 'loading', 'padahl', 'jaring', 'stabil']",-12,negative
Ed link skrg kurang optimal di banding sebelum update,ed link skrg kurang optimal di banding sebelum update,"['ed', 'link', 'skrg', 'kurang', 'optimal', 'banding', 'update']",-3,negative
Suka error. kelas tidak sinkron,suka error kelas tidak sinkron,"['suka', 'error', 'kelas', 'sinkron']",-5,negative
"Gra2 apk nih..nilai sering nol,uh cape bljrr",gra apk nihnilai sering noluh cape bljrr,"['gra', 'apk', 'nihnilai', 'sering', 'noluh', 'cape', 'bljrr']",-1,negative
File tidak bisa diunduh,file tidak bisa diunduh,"['file', 'unduh']",0,negative
"Ini aplikasinya ngebug atau bagaimana sih? Saya aploud tugas sebesar 200kb kok di edlink jadi 19gb? Saya jadi tidak bisa mengumpulkan tugas lagi, tolong jawabannya",ini aplikasinya ngebug atau bagaimana sih saya aploud tugas sebesar kb kok di edlink jadi gb saya jadi tidak bisa mengumpulkan tugas lagi tolong jawabannya,"['aplikasi', 'ngebug', 'bagaimana', 'sih', 'aploud', 'tugas', 'besar', 'kb', 'kok', 'edlink', 'jadi', 'gb', 'jadi', 'kumpul', 'tugas', 'jawab']",-8,negative
Aplikasi kountol tenan suog,aplikasi kountol tenan suog,"['aplikasi', 'kountol', 'tenan', 'suog']",-4,negative
Apakah apps ini support untuk device dengan harmony os yg tdk didukung GMS?,apakah apps ini support untuk device dengan harmony os yg tdk didukung gms,"['apps', 'support', 'device', 'harmony', 'os', 'yg', 'tdk', 'dukung', 'gms']",8,positive
Hayyy saya jg ikut nyumbang bintang deh..,hayyy saya jg ikut nyumbang bintang deh,"['hayyy', 'jg', 'ikut', 'nyumbang', 'bintang', 'deh']",-3,negative
jelek app nya,jelek app nya,"['jelek', 'app', 'nya']",-5,negative
"Sangat tidak bagus, lambat loading, bikin emosi. Mohon diperbaiki",sangat tidak bagus lambat loading bikin emosi mohon diperbaiki,"['sangat', 'bagus', 'lambat', 'loading', 'bikin', 'emosi', 'mohon', 'baik']",-2,negative
Tolong edlinknya di perbaiki lagi. Kenapa akun saya tidak bisa di buka,tolong edlinknya di perbaiki lagi kenapa akun saya tidak bisa di buka,"['edlinknya', 'baik', 'akun', 'buka']",2,positive
Dear admin...ini kenapa ya saya buka edlink buffering terus ..mohon pencerahaan nya min,dear adminini kenapa ya saya buka edlink buffering terus mohon pencerahaan nya min,"['dear', 'adminini', 'buka', 'edlink', 'buffering', 'terus', 'mohon', 'pencerahaan', 'nya', 'min']",2,positive
"Mas mba operator, edlink saya kenapa gabisa save file kepenyimpanan hp, terus filenya gabusa dibuka juga, padahal sudah di izinkan dipengaturan hp nya, tapi tetap gabisa juga, tolong sarannya susah bgt gini mau buka file materi kuliah 😭😭😭",mas mba operator edlink saya kenapa gabisa save file kepenyimpanan hp terus filenya gabusa dibuka juga padahal sudah di izinkan dipengaturan hp nya tapi tetap gabisa juga tolong sarannya susah bgt gini mau buka file materi kuliah,"['mas', 'mba', 'operator', 'edlink', 'gabisa', 'save', 'file', 'simpan', 'hp', 'terus', 'filenya', 'gabusa', 'buka', 'padahal', 'izin', 'atur', 'hp', 'nya', 'tetap', 'gabisa', 'saran', 'susah', 'bgt', 'gin', 'mau', 'buka', 'file', 'materi', 'kuliah']",-5,negative
"Min ini kenapa yah setiap buka edlink durasi login lama banget, padahal jaringan bagus-bagus aja. Tolong di perbaiki yah min, soalnya bisa ngaruh sama tugas dan kehadiran di kampus.",min ini kenapa yah setiap buka edlink durasi login lama banget padahal jaringan bagusbagus aja tolong di perbaiki yah min soalnya bisa ngaruh sama tugas dan kehadiran di kampus,"['min', 'yah', 'buka', 'edlink', 'durasi', 'login', 'lama', 'banget', 'padahal', 'jaring', 'bagusbagus', 'aja', 'baik', 'yah', 'min', 'soal', 'ngaruh', 'sama', 'tugas', 'hadir', 'kampus']",3,positive
Penyimpanan penuh dan gak bisa hapus sangat mengecewakan saja,penyimpanan penuh dan gak bisa hapus sangat mengecewakan saja,"['simpan', 'penuh', 'gak', 'hapus', 'sangat', 'kecewa']",-8,negative
"gausa aneh aneh yaa, KEMBALIKAN EDLINK SEPERTI SEDIA KALA 😭🙏",gausa aneh aneh yaa kembalikan edlink seperti sedia kala,"['gausa', 'aneh', 'aneh', 'yaa', 'kembali', 'edlink', 'sedia', 'kala']",-1,negative
Jelek,jelek,['jelek'],-5,negative
Kenapa di edlink saya tidak bisa buka file materi ya?,kenapa di edlink saya tidak bisa buka file materi ya,"['edlink', 'buka', 'file', 'materi']",0,negative
"Gabisa masuk Aplikasi, Data tidak ditemukan, padahal sudah benar, Tapi login di Web bisa.",gabisa masuk aplikasi data tidak ditemukan padahal sudah benar tapi login di web bisa,"['gabisa', 'masuk', 'aplikasi', 'data', 'temu', 'padahal', 'benar', 'login', 'web']",-10,negative
Kntl gk bisa di buka,kntl gk bisa di buka,"['kntl', 'gk', 'buka']",0,negative
"Kak..ini kenapa pada saya mengikuti Quis pada soal Pilihan Ganda(PG), itu saya tidak bisa tekan huruf obsen(A,B,C,D)...itu kenapa bisa terjadi model bgitu kak? Sampai saya mendapatkan nilai 0 😭😔 Tolong kasi solusinya bagaimana kak?😭😭🙏",kakini kenapa pada saya mengikuti quis pada soal pilihan gandapg itu saya tidak bisa tekan huruf obsenabcditu kenapa bisa terjadi model bgitu kak sampai saya mendapatkan nilai   tolong kasi solusinya bagaimana kak,"['kakini', 'ikut', 'quis', 'soal', 'pilih', 'gandapg', 'tekan', 'huruf', 'obsenabcditu', 'jadi', 'model', 'bgitu', 'kak', 'dapat', 'nilai', 'kasi', 'solusi', 'bagaimana', 'kak']",-1,negative
"Tolong pihak edlink Perbaiki aplikasinya Saya kuliah telat Mulu Kenapa diedlink tidak ada fitur Notifikasi yang Berbunyi? Tolong tambahkan notifikasi yg berbunyi sprt aplikasi lain,Dan Juga Untuk Postingan terbaru selalu ada dibawah postingan lama tolong saya kira tidak ada tugas dari dosen",tolong pihak edlink perbaiki aplikasinya saya kuliah telat mulu kenapa diedlink tidak ada fitur notifikasi yang berbunyi tolong tambahkan notifikasi yg berbunyi sprt aplikasi laindan juga untuk postingan terbaru selalu ada dibawah postingan lama tolong saya kira tidak ada tugas dari dosen,"['pihak', 'edlink', 'baik', 'aplikasi', 'kuliah', 'telat', 'mulu', 'diedlink', 'fitur', 'notifikasi', 'bunyi', 'tambah', 'notifikasi', 'yg', 'bunyi', 'sprt', 'aplikasi', 'laindan', 'postingan', 'baru', 'selalu', 'bawah', 'postingan', 'lama', 'kira', 'tugas', 'dosen']",-14,negative
Pisahin lah tugas sama berita yang gak jelas,pisahin lah tugas sama berita yang gak jelas,"['pisahin', 'lah', 'tugas', 'sama', 'berita', 'gak', 'jelas']",-4,negative
"Ribet, punten 🙏",ribet punten,"['ribet', 'punten']",-4,negative
Kalo mau ndownload file susah bgt. Sering trobel juga,kalo mau ndownload file susah bgt sering trobel juga,"['kalo', 'mau', 'ndownload', 'file', 'susah', 'bgt', 'sering', 'trobel']",4,positive
"Format zip rar tidak mendukung, sedangkan dosen minta file format rar zip",format zip rar tidak mendukung sedangkan dosen minta file format rar zip,"['format', 'zip', 'rar', 'dukung', 'dosen', 'minta', 'file', 'format', 'rar', 'zip']",3,positive
Kasih bintang 4 dlu yaa soalnya edlink ku malah lalau ndk bsa unduh materi,kasih bintang  dlu yaa soalnya edlink ku malah lalau ndk bsa unduh materi,"['kasih', 'bintang', 'dlu', 'yaa', 'soal', 'edlink', 'ku', 'malah', 'lalau', 'ndk', 'bsa', 'unduh', 'materi']",0,negative
"Hai admin kenapa saya login lewat google tiba"" apknya FC padahal saya pake android keluaran terbaru mohon penjelasannya ya",hai admin kenapa saya login lewat google tiba apknya fc padahal saya pake android keluaran terbaru mohon penjelasannya ya,"['hai', 'admin', 'login', 'lewat', 'google', 'tiba', 'apknya', 'fc', 'padahal', 'pake', 'android', 'keluar', 'baru', 'mohon', 'jelas']",-5,negative
Tolong kok tugas file saya yang udah hilang semua. Ini bagaimana ya cara mengembalikannya🙏🏻😭,tolong kok tugas file saya yang udah hilang semua ini bagaimana ya cara mengembalikannya,"['kok', 'tugas', 'file', 'udah', 'hilang', 'semua', 'bagaimana', 'cara', 'kembali']",-5,negative
"Dokumen tidak bisa dibuka melalui aplikasinya, jadi membukanya harus lewat file dulu baru bisa, padahal sebelum update bisa dibuka melalui aplikasinya langsung Mohon diperbaiki bug nya",dokumen tidak bisa dibuka melalui aplikasinya jadi membukanya harus lewat file dulu baru bisa padahal sebelum update bisa dibuka melalui aplikasinya langsung mohon diperbaiki bug nya,"['dokumen', 'buka', 'lalu', 'aplikasi', 'jadi', 'buka', 'lewat', 'file', 'dulu', 'baru', 'padahal', 'update', 'buka', 'lalu', 'aplikasi', 'langsung', 'mohon', 'baik', 'bug', 'nya']",-1,negative
"Kok saya ga bisa absen, setelah scan QR malah ngefreeze dan ga muncul konfirmasi hadir kelas. Jadi saya ga terhitung hadir.",kok saya ga bisa absen setelah scan qr malah ngefreeze dan ga muncul konfirmasi hadir kelas jadi saya ga terhitung hadir,"['kok', 'ga', 'absen', 'scan', 'qr', 'malah', 'ngefreeze', 'ga', 'muncul', 'konfirmasi', 'hadir', 'kelas', 'jadi', 'ga', 'hitung', 'hadir']",-7,negative
"Udah download file tpi gak bisa2 di buka,bikin susah sekarang",udah download file tpi gak bisa di bukabikin susah sekarang,"['udah', 'download', 'file', 'tpi', 'gak', 'bukabikin', 'susah', 'sekarang']",-3,negative
